ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,,,ECG_DATA_STORE
0.4913,3.5764,8.1782,0.5753,3.9153,8.9727,-0.5912,-0.2709,-1.0162,0.1439,0.0625,0.0036,13.986,19.01,-6.38,10.01,241.44,-23.53,-3.67,2,69.071,13.043694,77.600525,2591.35,NaN,54.79,15.289753,270.8,0 / 20,54,2021-03-13 18:17:58:576,,,-0.06
0.8019,4.0108,9.5538,0.5073,3.8753,8.9942,-0.4993,0.0076,-1.0941,-0.0513,0.0035,-0.044,11.1888,21.62,-6.27,7.73,246.94,-23.28,-3.23,2,69.371,13.042003,77.59693,2651.67,NaN,46.26,21.97301,244.7,0 / 22,551,2021-03-13 18:17:59:073,,,-0.065
0.3107,3.2433,8.4084,0.2841,3.7498,9.057,0.5215,0.0157,1.5689,-0.041,-0.0083,-0.0872,13.986,22.36,-5.36,7.09,250.3,-22.72,-2.89,2,66.835,13.042003,77.59693,2651.67,NaN,46.26,21.97301,244.7,0 / 22,1051,2021-03-13 18:17:59:573,,,-0.06
0.8829,2.9933,10.6719,0.274,3.6133,9.1126,-0.1038,-0.1675,-1.3332,0.3205,0.2997,-0.014,13.986,22.49,-4.36,7.14,253.6,-22.19,-0.7,2,68.363,13.041929,77.5968,2664.87,NaN,46.55,17.848845,248.1,16 / 24,1551,2021-03-13 18:18:00:073,,,-0.075
-0.3281,3.5556,8.4501,0.1732,3.8046,9.0369,-0.3929,-0.5093,-1.0164,-0.0938,-0.2409,0.0467,13.986,24.17,-3.04,7.8,255.77,-22.83,-1.1,2,67.142,13.041929,77.5968,2664.87,NaN,46.55,17.848845,248.1,16 / 24,2051,2021-03-13 18:18:00:573,,,-0.065
-0.4208,2.929,10.3548,-0.0691,3.7072,9.0787,-0.0013,0.1836,2.1357,0.0634,-0.0541,0.0517,16.7832,24.44,-2.74,8.48,256.6,-22.21,0.44,2,68.627,13.041917,77.59669,2646.18,NaN,44.1,17.164137,255.1,19 / 25,2551,2021-03-13 18:18:01:073,,,-0.07
-1.0799,0.8143,10.1192,-0.2344,2.1156,9.5729,0.8713,0.7788,-1.522,-2.0581,1.0994,0.865,11.1888,24.63,-1.22,6.01,261.8,-22.12,-2.32,2,67.89,13.041917,77.59669,2646.18,NaN,44.1,17.164137,255.1,19 / 25,3051,2021-03-13 18:18:01:573,,,-0.07
-1.6866,-0.5712,10.2252,-0.476,1.3618,9.7,-0.2414,-1.4266,2.3795,1.7653,-0.0963,-0.0954,5.5944,23.79,-2.64,5.02,262.57,-2.23,2.34,2,71.213,13.041879,77.59657,2639.35,NaN,45.79,16.373991,255,19 / 27,3552,2021-03-13 18:18:02:074,,,-0.09
1.3354,5.9904,6.1754,-1.0682,7.2004,6.5714,2.9566,-0.5932,0.2237,1.369,0.7279,-0.733,11.1888,28.16,8.5,4.11,277.2,-36.61,-1.78,2,68.328,13.041879,77.59657,2639.35,NaN,45.79,16.373991,255,19 / 27,4051,2021-03-13 18:18:02:573,,,-0.08
2.0831,7.2268,3.1794,1.5635,9.1656,3.1172,-1.7333,-2.7508,1.556,1.4763,-0.0801,1.1553,8.3916,23.4,12.54,-11.02,279.3,-69.17,-26.64,2,68.035,13.041872,77.596466,2627.95,NaN,45.58,14.265685,262.3,19 / 28,4551,2021-03-13 18:18:03:073,,,-0.095
